x	y
38103.4	63393.5
38407.3	63052.6
38456.3	62491.1
38701.4	62120.1
38113.2	61498.5
37877.9	61378.2
37946.5	61247.8
37652.4	60947
37270.1	60806.6
36662.2	60716.4
36485.7	60535.9
36074	59793.9
35995.5	59493.1
35760.3	59172.3
35760.3	58951.7
35603.4	58841.4
35750.4	58560.6
36250.4	58320
36338.7	58049.3
36887.7	57929
36946.5	57718.4
36946.5	57377.5
36730.8	57197
36525	57197
36328.9	57076.7
36446.5	56916.3
36211.2	56595.4
36417.1	56435
36466.1	56174.3
36240.6	55683
36417.1	55372.1
36358.3	55171.6
36397.5	54860.8
36544.6	54770.5
36632.8	54770.5
37407.3	55181.6
37917.1	54710.4
38025	54349.4
37779.9	53477.1
38054.4	53386.8
38211.2	53106.1
38211.2	52785.2
38142.6	52624.8
38966.1	51602.1
39044.6	51271.2
39044.6	50820
39397.5	50830
39583.8	50930.3
39946.5	50960.4
40162.2	50799.9
40564.2	50830
40966.1	51130.8
41172	51411.6
41358.3	51231.1
41426.9	51421.6
41730.8	51732.4
42368.1	51321.3
42632.8	51391.5
42887.7	51271.2
42946.5	51050.6
43377.9	51090.7
43426.9	50960.4
43426.9	50769.9
43574	50639.5
43662.2	50840.1
43662.2	51331.4
43770.1	51582
43652.4	51742.5
43730.8	51963
43730.8	52905.6
43897.5	53045.9
44123	53136.2
44230.8	53376.8
44417.1	53567.3
44417.1	53687.6
44770.1	53978.4
44642.6	54088.7
44397.5	54850.7
44397.5	55041.3
44191.6	55432.3
44191.6	55672.9
44113.2	56545.3
43838.7	56946.3
43789.7	57197
43534.8	57738.4
43377.9	57848.7
43328.9	58189.7
43054.4	58600.7
43132.8	58871.5
42956.3	59192.3
42995.5	59332.7
42721	59854.1
42838.7	60475.7
42436.7	61077.4
42691.6	61518.5
42583.8	62170.3
42446.5	62360.8
42505.3	62561.3
42289.7	62822
42289.7	63172.9
41603.4	63714.4
41358.3	64035.2
41142.6	63894.9
40946.5	64175.6
40809.3	64556.6
40750.4	64516.5
40299.5	64947.7
40123	65408.9
39711.2	66170.9
39289.7	65669.6
39289.7	65549.3
39093.6	65158.2
38505.3	64446.3
38142.6	64175.6
38093.6	63714.4
