X	Y	NUCLI
300847.434123506	4494656.91825046	23
300842.442290837	4494654.91955187	23
300839.946374502	4494650.42248005	23
300838.948007968	4494642.92736034	23
300841.443924303	4494637.43093923	23
300844.938207171	4494633.43354205	23
300848.931673307	4494629.93581952	23
300851.427589641	4494626.43809699	23
300854.92187251	4494620.94167587	23
300857.916972112	4494616.44460405	23
300862.409621514	4494609.94883364	23
300865.404721116	4494604.45241252	23
300867.90063745	4494601.45436464	23
300870.396553785	4494597.95664211	23
300873.391653386	4494593.45957029	23
300878.383486056	4494585.96445058	23
300883.375318725	4494577.96965623	23
300885.372051793	4494574.4719337	23
300888.866334661	4494569.97486188	23
300893.858167331	4494563.97876611	23
300896.853266932	4494560.48104358	23
300900.347549801	4494555.98397176	23
300903.342649402	4494551.48689994	23
300906.337749004	4494549.48820135	23
300910.331215139	4494550.98722529	23
300913.326314741	4494555.98397176	23
300914.823864542	4494558.482345	23
300915.323047809	4494564.47844076	23
300913.326314741	4494567.47648864	23
300912.327948207	4494571.47388582	23
300908.833665339	4494576.47063229	23
300905.838565737	4494580.46802947	23
300902.344282868	4494585.46477594	23
300898.85	4494591.4608717	23
300894.856533865	4494595.45826888	23
300891.861434263	4494597.95664211	23
300886.869601594	4494603.95273788	23
300884.373685259	4494608.4498097	23
300879.38185259	4494616.9442787	23
300875.887569721	4494622.94037446	23
300873.391653386	4494631.43484346	23
300871.894103586	4494640.42898711	23
300870.895737052	4494647.42443217	23
300867.401454183	4494654.41987723	23
300862.409621514	4494656.91825046	23
300855.421055777	4494657.41792511	23
300851.926772908	4494656.91825046	23
