"X"	"Y"	"NUCLI"
300970.233207171	4495519.35669122	84
300966.738924303	4495520.35604052	84
300961.747091633	4495517.35799263	84
300958.751992032	4495510.86222222	84
300957.753625498	4495503.86677716	84
300959.750358566	4495494.87263352	84
300961.247908367	4495486.37816452	84
300960.7487251	4495482.88044199	84
300964.742191235	4495476.88434622	84
300972.729123506	4495471.88759975	84
300981.714422311	4495465.39182934	84
300991.198904382	4495456.3976857	84
300995.691553785	4495447.9032167	84
300999.185836653	4495439.90842234	84
301004.177669323	4495431.41395335	84
301010.667051793	4495424.91818293	84
301013.662151394	4495418.42241252	84
301018.154800797	4495411.92664211	84
301021.149900398	4495402.93249847	84
301021.649083665	4495390.94030694	84
301022.647450199	4495374.95071823	84
301026.141733068	4495363.957876	84
301032.131932271	4495359.46080417	84
301036.125398406	4495368.95462247	84
301038.621314741	4495379.44779005	84
301041.616414343	4495391.43998158	84
301046.608247012	4495406.92989564	84
301051.100896414	4495421.4204604	84
301056.092729084	4495434.41200123	84
301061.58374502	4495440.90777164	84
301066.076394422	4495447.40354205	84
301063.580478088	4495448.90256599	84
301067.573944223	4495453.89931246	84
301074.063326693	4495458.89605893	84
301079.554342629	4495463.8928054	84
301083.547808765	4495469.38922652	84
301083.547808765	4495474.88564764	84
301082.050258964	4495482.38076734	84
301080.552709163	4495489.3762124	84
301079.554342629	4495495.87198281	84
301078.056792829	4495502.86742787	84
301075.560876494	4495509.36319828	84
301070.569043825	4495513.8602701	84
301066.575577689	4495518.85701657	84
301061.58374502	4495523.3540884	84
301054.095996016	4495530.34953346	84
301046.109063745	4495533.34758134	84
301035.626215139	4495533.34758134	84
301032.131932271	4495535.84595457	84
301027.140099602	4495536.34562922	84
301023.645816733	4495537.84465316	84
301018.653984064	4495537.34497851	84
301015.159701195	4495535.84595457	84
301013.662151394	4495536.84530387	84
301007.671952191	4495532.84790669	84
301002.680119522	4495527.35148557	84
300997.189103586	4495522.85441375	84
300985.208705179	4495517.85766728	84
300976.722589641	4495516.85831799	84
300973.72749004	4495518.35734193	84
